MeanR,StdR,MeanG,StdG,Kappa,Sample ID,Volume_Fraction
7.4522,1.3202,5.493,0.98164,184590.0,250,0.43091
4.7028,0.66027,2.2486,0.10645,6.553,251,0.4141
7.0362,1.0909,3.894,1.304,53090.0,252,0.43115
23.455,0.27552,0.13057,0.0087337,6.1073,253,0.24832
8.4094,2.6426,0.17819,0.018828,38.405,254,0.4088
12.454,0.47799,0.31592,0.06479,5.1913,255,0.36164
8.4929,2.3068,0.28379,0.053596,5892900000.0,256,0.45243
10.122,0.028147,0.68455,0.098172,358.01,257,0.39664
5.8449,0.17843,0.1049,0.0015549,9516.8,258,0.3753
3.8493,0.24745,0.1339,0.011618,1.0339e-07,259,0.24948
4.3667,0.40356,0.91707,0.39028,2.8567,260,0.41192
7.8994,0.62576,0.13852,0.014691,2.3976e-08,261,0.27101
5.0751,0.41995,0.33758,0.10768,0.012676,262,0.36361
4.5473,0.30671,0.49242,0.25566,1.37,263,0.37273
4.1301,0.17417,1.2767,0.35272,2.0802e-07,264,0.38603
8.8473,1.3599,0.87336,0.26947,712880.0,265,0.44477
7.6299,0.55705,0.2609,0.036498,199700000.0,266,0.41808
24.545,1.211,0.1503,0.0126,1986000000.0,267,0.39956
21.922,0.32341,0.56829,0.24951,1.0404,268,0.36499
5.5317,1.0196,0.11459,0.0005482,0.93654,269,0.26682
3.2941,0.092505,0.61526,0.28225,0.11278,270,0.35332
4.954,0.70347,0.31021,0.093452,2754.2,271,0.4407
3.1891,0.041193,0.31646,0.047939,0.25135,272,0.32641
11.257,2.5124,0.91989,0.15514,4.7624e-08,273,0.4535
3.383,0.031149,1.7723,0.78304,0.97803,274,0.36374
4.1948,0.32672,0.36544,0.14093,17281.0,275,0.42321
3.261,0.079675,0.51205,0.25737,1.05,276,0.34512
3.9149,0.063214,0.57574,0.043423,103390.0,277,0.39941
7.8124,0.074283,0.22668,0.029301,0.0040844,278,0.30714
5.3168,0.71387,0.10252,0.00010384,10.977,279,0.28611
5.8747,0.88484,0.1253,0.0090443,2.4515,280,0.28309
14.899,3.0137,0.61547,0.19161,0.75471,281,0.43103
17.03,0.84252,0.14742,0.0079248,9316800000.0,282,0.39884
8.6389,1.4562,0.23611,0.014398,0.19569,283,0.3616
5.7057,0.58585,0.11903,0.0020789,1.0893,284,0.26522
17.26,0.71338,0.31854,0.095141,4.8507e-06,285,0.34643
6.6027,1.6542,0.21887,0.015602,131710.0,286,0.44251
3.8752,0.23417,4.6483,1.1745,1.3583e-08,287,0.30935
17.891,1.8237,0.43176,0.065591,1.2749e-10,288,0.39438
4.0414,0.060038,0.30491,0.04051,2.7566,289,0.34049
5.0923,0.45662,5.2024,0.62788,0.0075392,290,0.32915
5.3157,0.37899,0.27108,0.061531,0.95387,291,0.34466
3.5915,0.18152,7.9917,0.48089,2.2166,292,0.24022
14.449,3.4902,0.54132,0.10195,0.40678,293,0.43321
9.1598,2.3984,0.12888,0.0077494,5.9002,294,0.29431
6.6192,0.40028,0.37098,0.052332,68107000.0,295,0.41785
18.648,0.12809,0.38007,0.099257,0.26236,296,0.34231
22.55,1.9301,1.3699,0.20969,0.26878,297,0.40651
9.7535,1.7444,0.12521,0.0049642,273700000.0,298,0.42971
4.0741,0.10811,1.6569,0.50201,4.0557e-07,299,0.37731
18.269,2.1948,0.20457,0.028872,0.38172,300,0.31488
12.141,3.1025,0.37172,0.10435,9671.6,301,0.46235
7.1992,1.3384,0.4339,0.054676,0.99609,302,0.41521
11.687,0.096733,0.29938,0.10226,1.0944,303,0.31937
3.7926,0.26505,1.1742,0.17978,1.5437e-08,304,0.40271
6.4105,0.82645,2.4659,0.47727,0.15612,305,0.40067
3.5653,0.16335,0.48682,0.13658,5.0152,306,0.3784
6.3867,1.2222,1.2768,0.28692,7.9153,307,0.43657
11.63,2.2255,3.9229,0.21859,0.36627,308,0.37941
